City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Vanimo,PG,2021-10-23 00:40:25,-2.6741,141.3028,84.92,63,100,4.07
131,Saskylakh,RU,2021-10-23 00:40:25,71.9167,114.0833,-12.68,100,87,2.77
132,Geraldton,AU,2021-10-23 00:40:25,-28.7667,114.6,67.12,59,0,8.05
133,Kharan,PK,2021-10-23 00:40:26,28.5833,65.4167,57.36,26,0,6.13
134,Bathsheba,BB,2021-10-23 00:40:26,13.2167,-59.5167,83.01,74,40,23.02
135,Luderitz,NA,2021-10-23 00:40:27,-26.6481,15.1594,55.08,87,0,7.54
136,Norman Wells,CA,2021-10-23 00:40:27,65.282,-126.8329,44.64,65,75,18.41
137,Matagami,CA,2021-10-23 00:40:27,49.7502,-77.6328,33.91,86,90,4.61
138,Baruun-Urt,MN,2021-10-23 00:40:28,46.6806,113.2792,34.92,46,28,10.11
139,Sorland,NO,2021-10-23 00:40:28,67.667,12.6934,40.8,51,100,2.53
140,Adrar,MR,2021-10-23 00:40:29,20.5022,-10.0711,73.35,22,95,8.14
141,Altamira,BR,2021-10-23 00:40:29,-3.2033,-52.2064,74.71,94,93,2.28
142,Lorengau,PG,2021-10-23 00:40:29,-2.0226,147.2712,85.48,67,58,8.19
143,Dunedin,NZ,2021-10-23 00:39:09,-45.8742,170.5036,60.8,61,81,8.99
144,Koslan,RU,2021-10-23 00:40:30,63.4564,48.8989,37.51,90,100,13.27
145,East London,ZA,2021-10-23 00:39:26,-33.0153,27.9116,62.74,82,95,7.83
146,Port Hedland,AU,2021-10-23 00:40:31,-20.3167,118.5667,95.05,14,0,8.05
147,Kohat,PK,2021-10-23 00:38:15,33.582,71.4493,60.87,31,0,4.74
148,Plettenberg Bay,ZA,2021-10-23 00:40:31,-34.0527,23.3716,60.89,67,100,6.29
149,Pisco,PE,2021-10-23 00:40:32,-13.7,-76.2167,61.02,82,0,18.41
150,Tilichiki,RU,2021-10-23 00:40:32,60.4667,166.1,9.81,80,17,6.29
151,Praia,CV,2021-10-23 00:40:32,14.9215,-23.5087,79.34,65,20,12.66
152,Caravelas,BR,2021-10-23 00:40:33,-17.7125,-39.2481,73.67,84,100,6.76
153,Damghan,IR,2021-10-23 00:40:33,36.1683,54.348,45.68,40,0,1.99
154,Peqin,AL,2021-10-23 00:40:34,41.0461,19.7511,60.66,67,100,3.83
155,Kavieng,PG,2021-10-23 00:40:34,-2.5744,150.7967,84.79,67,11,13.96
156,Axim,GH,2021-10-23 00:40:35,4.8699,-2.2405,77.2,87,100,6.58
157,Hasaki,JP,2021-10-23 00:40:35,35.7333,140.8333,61.29,57,1,15.66
158,Brae,GB,2021-10-23 00:40:35,60.3964,-1.353,39.11,66,88,5.66
159,Tsumeb,NA,2021-10-23 00:40:36,-19.2333,17.7167,70.03,20,4,9.73
160,Clive,US,2021-10-23 00:40:36,41.603,-93.7241,45.48,83,20,5.75
161,Kaa-Khem,RU,2021-10-23 00:40:36,51.6833,94.7333,33.1,48,100,2.28
162,Chokurdakh,RU,2021-10-23 00:40:37,70.6333,147.9167,-10.8,99,99,2.95
163,Tessalit,ML,2021-10-23 00:40:37,20.1986,1.0114,79.88,22,5,7.96
164,Inongo,CD,2021-10-23 00:40:38,-1.95,18.2667,71.38,91,98,1.99
165,Mount Isa,AU,2021-10-23 00:40:38,-20.7333,139.5,80.37,47,100,21.85
166,Sidi Ali,DZ,2021-10-23 00:40:39,36.0998,0.4206,61.68,86,35,6.64
167,Karad,IN,2021-10-23 00:40:39,17.2833,74.2,69.33,69,43,3.2
168,Viedma,AR,2021-10-23 00:39:44,-40.8135,-62.9967,45.27,79,0,7.94
169,Pozo Colorado,PY,2021-10-23 00:40:39,-23.4923,-58.7972,80.89,48,4,7.99
170,Nenjiang,CN,2021-10-23 00:40:40,49.1833,125.2167,42.75,58,91,8.86
171,Butaritari,KI,2021-10-23 00:40:40,3.0707,172.7902,82.13,78,71,18.52
172,Isangel,VU,2021-10-23 00:40:41,-19.55,169.2667,84.31,70,20,9.22
173,Kostino,RU,2021-10-23 00:40:41,58.9097,53.2691,43.57,80,100,13.18
174,Harper,LR,2021-10-23 00:39:23,4.375,-7.7169,76.64,89,97,7.43
175,Najran,SA,2021-10-23 00:40:42,17.4924,44.1277,63.25,36,93,1.48
176,Antofagasta,CL,2021-10-23 00:36:03,-23.65,-70.4,60.08,77,48,4.68
177,Whakatane,NZ,2021-10-23 00:40:42,-37.9585,176.9854,60.51,67,99,5.99
178,Champerico,GT,2021-10-23 00:40:43,14.3,-91.9167,84.74,80,44,6.35
179,Lermontovka,RU,2021-10-23 00:40:43,47.1453,134.3383,44.73,53,5,6.58
180,El Rosario,MX,2021-10-23 00:40:43,24.2556,-107.1828,89.8,80,0,5.46
181,Namatanai,PG,2021-10-23 00:40:44,-3.6667,152.4333,85.19,64,94,9.57
182,Champua,IN,2021-10-23 00:40:44,22.0833,85.6667,66.76,72,39,2.15
183,Cordoba,AR,2021-10-23 00:36:02,-31.4135,-64.1811,69.76,64,75,15.01
184,Gigante,CO,2021-10-23 00:40:45,2.3868,-75.5453,70.2,91,98,3.2
185,Gillette,US,2021-10-23 00:40:46,44.2911,-105.5022,58.12,52,1,3.0
186,Lewistown,US,2021-10-23 00:40:46,40.5992,-77.5714,56.89,100,75,0.0
187,Evensk,RU,2021-10-23 00:40:46,61.95,159.2333,11.59,66,64,5.35
188,Sitka,US,2021-10-23 00:40:47,57.0531,-135.33,49.89,62,90,13.8
189,Ixtapa,MX,2021-10-23 00:40:47,20.7,-105.2,87.03,70,75,5.75
190,Zhezkazgan,KZ,2021-10-23 00:40:48,47.8043,67.7144,39.67,76,99,17.96
191,Cabo San Lucas,MX,2021-10-23 00:39:53,22.8909,-109.9124,84.51,69,1,10.36
192,Lagoa,PT,2021-10-23 00:40:48,39.05,-27.9833,68.25,85,55,13.71
193,Santa Rosalia,MX,2021-10-23 00:40:49,27.3167,-112.2833,76.08,51,0,1.16
